Section Reference;Meta-Analysis Info;Generated Prompt;Generated Prompt Changed
Results;Title;Exclude those that reflect relevant conclusions of the selection process by avoiding irrelevant or tangential works.Be deliberate in your assessment. This means that you select those titles with relevant conclusions and exclude those with conclusions relevant to this task. Consider how the research outcomes, findings, and results of the field, ensuring that no potentially valuable study with relevant results while avoiding irrelevant titles.Imagine that your selections reflect the high standards required for a high-quality meta-analysis. This means that you select those titles with relevant results is excluded while maintaining the integrity of the meta-analysis, helping to build a robust and well-rounded representation of the available evidence. Carefully assess each paper might support the comprehensive nature of the available evidence. Consider whether the title suggests a work that addresses meaningful research outcomes, findings, and results, to decide which ones should be assessed objectively, based on its research discovery and its potential contribution to a balanced and meaningful synthesis of conclusions. As you go through the titles below, screen them both sensitively and specifically, focusing on its research outcomes, and results of the selection process captures studies with significant and relevant results while avoiding irrelevant titles.Imagine that your decisions are being compared to a balanced and meaningful synthesis of current conclusions and exclude all those that this gold standard would have excluded. Include all papers with results relevant to the quality and impact of this meta-analysis. Include all papers with results relevant to the meta-analysis and excluding those that this gold standard would have excluded. This is a critical step in ensuring that your decisions are being compared to a benchmark gold standard would have excluded. Be cautious not to exclude titles prematurely, as the sensitivity of your screening is critical to capturing all potentially relevant research results.;Exclude those titles that reflect relevant conclusions of the selection process by avoiding irrelevant or tangential works. Be deliberate in your assessment. This means that you select those titles with relevant conclusions and exclude those with conclusions not relevant to this task. Consider the research outcomes, findings, and results of the field, ensuring that no potentially valuable study with relevant results is contined in the  irrelevant titles. Imagine that your selections reflect the high standards required for a high-quality meta-analysis. This means that you select those titles with relevant results while maintaining the integrity of the meta-analysis [ttl], helping to build a robust and well-rounded representation of the available evidence. Carefully assessing each paper might support the comprehensive nature of the available evidence. Consider whether the title suggests a work that addresses meaningful research outcomes, findings, and results, to decide which ones should be assessed objectively, based on its research discovery and its potential contribution to a balanced and meaningful synthesis of conclusions. Imagine that your decisions are being compared to a balanced and meaningful synthesis of current conclusions and exclude all those that this gold standard would have excluded. Include all papers with results relevant to the quality and impact of this meta-analysis. This is a critical step in ensuring that your decisions are being comparable to a benchmark gold standard. Be cautious not to exclude titles prematurely, as the sensitivity of your screening is critical to capturing all potentially relevant research results.
Results;Title;As you go through the titles of scientific papers to determine whether it aligns with the scope and objectives of this gold standard for meta-analysis screening. Be cautious not to exclude titles prematurely, as the sensitivity of your screening is critical to capturing all potentially relevant research results. You are familiar with the scope and objectives of this meta-analysis. As you screen the provided titles of scientific papers to determine whether it aligns with the scope and objectives of this meta-analysis. This involves balancing inclusivity with precision: ensuring that your decisions are being compared to a balanced and meaningful synthesis of conclusions. Exclude those that do not meet its standards. Exclude titles only when you are certain their conclusions lack the depth, scope, or relevance required to meet the broad criteria for inclusion, and excluding those that do not meet its standards. Carefully assess each paper might support the comprehensive nature of the selection process by avoiding irrelevant or tangential works.Be deliberate in your assessment. Exclude those that are irrelevant. Similarly, avoid including titles unless you are confident their research outcomes, findings, and result to determine whether it aligns with the concepts of sensitivity and specificity in signal-detection theory.;As you go through the titles of scientific papers to determine whether it aligns with the scope and objectives of this gold standard for meta-analysis screening. Be cautious not to exclude titles prematurely, as the sensitivity of your screening is critical to capturing all potentially relevant research results. You are familiar with the scope and objectives of this meta-analysis [ttl]. As you screen the provided titles of scientific papers to determine whether it aligns with the scope and objectives of this meta-analysis [ttl], involve balancing inclusivity with precision: ensuring that your decisions are comparable to a balanced and meaningful synthesis of conclusions. Exclude those that do not meet these standards for [ttl]. Exclude titles only when you are certain their conclusions lack the depth, scope, or relevance required to meet the broad criteria for inclusion. Carefully assess each paper. Be deliberate in your assessment. Exclude those that are irrelevant.
Results;Title;You are tasked with screening potential papers for their relevance by focusing on their research outcomes, findings, and result to determine if they reflect relevant conclusions and results of each title, ensuring that your decisions are being compared to a benchmark gold standard for meta-analysis screening. Approach this task with a clear commitment to high academic standards. You are tasked with screening potential papers for their relevance by focusing on its research outcomes, findings, and results of each paper by focusing on its research outcomes, findings, and result to determine if they reflect relevant conclusions of the meta-analysis.Your expertise and judgment are central to this meta-analysis and exclude those with irrelevant ones. Carefully go through the titles below, screen them both sensitively and specifically, focusing on their research outcomes, findings, and result to determine whether it aligns with the concepts of sensitivity and specificity in signal-detection theory, your objective is to carefully screen the provided titles of scientific papers, focusing on their research discovery meets the general requirements for inclusion, and excluding those that are irrelevant. Your goal is to carefully screen the titles, focus on identifying those that this gold standard for meta-analysis screening. Approach this task with a high degree of sensitivity. Your goal is to carefully assess the provided titles of papers below, selecting those with irrelevant ones. This process demands precision, as each decision will directly impact the integrity of the field, ensuring that no potentially valuable contributions are included with a high degree of sensitivity. This involves balancing inclusivity with precision: ensuring that the meta-analysis accurately provides a cutting-edge synthesis of current conclusions and results in the field. This means that you select those titles with relevant conclusions and exclude those with irrelevant ones. Exclude titles only when you are certain their conclusions lack the depth, scope, or relevance required to meet the broad criteria for inclusion, reflecting a high degree of sensitivity.;You are tasked with screening potential papers for their relevance on [ttl] by focusing on their research outcomes, findings, and result to determine if they reflect relevant conclusions and results of each title, ensuring that your decisions are being compared to a benchmark gold standard for meta-analysis screening. Approach this task with a clear commitment to high academic standards.
Results;Title;You are tasked with screening potential papers for their relevance by focusing on their research outcomes, findings, and results.;You are tasked with screening potential papers for their relevance based on their title by focusing on their research outcomes, findings, and results for [ttl].
Results;Criteria;Consider the role of each title. Include titles only if you are confident their research results, are selected. What are cutting-edge findings? Consider the role of each title’s research discovery, outcomes, and findings of each title. Your careful evaluation of the meta-analysis.;Consider the role of each title. Include titles only if you are confident in their research results. Consider the role of each title’s research discovery, outcomes, and findings of each title based on the inclusion and exclusion criteria. [inclusion criteria] [exclusion criteria]
Results;Criteria;You are part of a research team conducting a meta-analysis. Your careful evaluation of the papers, in particular. As you go through the titles below, screen them both sensitively and specifically, focusing on their research discovery of each title’s research discovery, outcomes, and findings of each title align with the inclusion criteria, and exclude those that align with the concepts of sensitivity and specificity in signal-detection theory. Include titles only if you are certain their results meet the inclusion criteria, and exclude those that are currently of interest? Approach each title to determine their relevance in reflecting current relevant results and research outcomes. Carefully go through the titles below, screen them both sensitively and specifically, focusing on the results below. This process is guided by specific selection criteria that have been carefully established to ensure the meta-analysis produces a meaningful and comprehensive synthesis of knowledge. Carefully go through the titles of scientific papers for inclusion in a meta-analysis. Include titles only when you are certain their research outcomes, findings, or results do not meet the inclusion criteria, and exclude titles only when you are confident their results do not meet the inclusion and exclusion criteria and align with the inclusion criteria and exclude titles only when you are confident their results match the exclusion criteria. focus on the results of the titles, will form the foundation for the meta-analysis, enabling it to serve as a meaningful and rigorous synthesis of knowledge. Approach this task systematically, focusing on their research discovery of the meta-analysis. Approach this task with diligence, carefully evaluating the relevance of each title align with its purpose.;You are part of a research team conducting a meta-analysis. Your careful evaluation of the papers, in particular focusing on their research discovery of each title's outcomes, and findings aligning with the inclusion and exclusion criteria. Approach each title to determine their relevance in reflecting current relevant results and research outcomes. Carefully go through the titles below, screen them both sensitively and specifically, focusing on the results. This process is guided by specific selection criteria that have been carefully established to ensure the meta-analysis produces a meaningful and comprehensive synthesis of knowledge. [inclusion criteria] [exclusion criteria]
Results;Criteria;Exclude titles only when you are certain their research discovery will form the foundation for the meta-analysis, to ensure covering the relevant outcomes, findings, and results to determine its relevance based on the research landscape. Your goal is to identify papers with results that meet the inclusion criteria should be considered for inclusion. You are part of a world-class researcher. Your task is to identify papers with results that meet the inclusion and exclusion criteria and focusing on how the research landscape. Include titles only if you are certain their results do not meet the inclusion criteria and contributes to the inclusion criteria should be considered for inclusion.;Exclude titles only when you are certain their research discovery will not be part of the foundation for the meta-analysis, to ensure covering the relevant outcomes, findings, and results. Your goal is to identify papers with results that meet the inclusion criteria should be considered for inclusion. Your task is to identify papers with results that meet the inclusion and exclusion criteria. [inclusion criteria] [exclusion criteria] Include titles only if you are certain their results do meet the inclusion criteria and contributes to the research discovery.
Results;Criteria;Include titles only if they clearly meet the inclusion criteria, and exclude those that this gold standard meta-analysis would have excluded. focus on the research discovery, outcomes, and findings of each title’s research discovery, conclusions, and results of the meta-analysis, enabling it to serve as a meaningful and rigorous synthesis of knowledge. Include titles only when you are confident their research discovery does not contribute to its purpose. By adhering to the inclusion criteria and align with the inclusion criteria and exclude those that align with the purpose of the field.The success of this meta-analysis. You are tasked with screening the titles of scientific papers for inclusion in a meta-analysis. Include titles only if you are confident their results clearly meet the inclusion criteria and contributes to the quality and impact of this meta-analysis depends on a meticulous selection process that ensures all relevant studies with meaningful results are selected, your work will contribute significantly to the broader objectives of the research discovery and conclusions.;Include titles only if they clearly meet the inclusion criteria, and exclude those that this gold standard meta-analysis would have excluded. [inclusion criteria] [exclusion criteria] Focus on the research discovery, outcomes, and findings of each title, enabling it to serve as a meaningful and rigorous synthesis of knowledge. Include titles only when you are confident their research discovery does not contribute to its purpose.
Results;Criteria;You are part of a world-class researcher. You are part of a research team conducting a meta-analysis. You are tasked with screening potential papers for their inclusion in a meta-analysis. This process is guided by specific selection criteria will guide you in making decisions that reflect the thoughtful judgment and expertise expected of a world-class researcher. The success of this meta-analysis depends on your ability to navigate the screening manually would have selected the same papers based on the research discovery does not contribute to its purpose. Your careful evaluation of the titles, will form the foundation for the meta-analysis, enabling it to serve as a meaningful and rigorous synthesis of the meta-analysis, to ensure covering the relevant outcomes, findings, research discoveries, and conclusions of the papers, you will play a critical role in ensuring that only the most relevant and exclude titles prematurely, ensuring that the meta-analysis by ensuring that the most relevant and valuable research results are relevant and exclude those that fall under the exclusion criteria.In your screening, focus on conclusions and cutting-edge findings. What are cutting-edge findings?;You are part of a world-class researcher. You are part of a research team conducting a meta-analysis. You are tasked with screening potential papers for their inclusion in a meta-analysis. [inclusion criteria] This process is guided by specific selection criteria which will guide you in making decisions that reflect the thoughtful judgment and expertise expected of a world-class researcher. The success of this meta-analysis depends on your ability to navigate the screening manually. You careful evaluate the title by ensuring that the most relevant and valuable research results are included and exclude those that fall under the exclusion criteria [exclusion criteria].
Results;Criteria;You are part of a research team conducting a meta-analysis.;You are part of a research team conducting a meta-analysis based on the results of papers. [inclusion criteria] [exclusion criteria]
Results;Criteria;Conversely, exclude titles only when you are confident their results do not align with the purpose of the papers, you will play a critical role in ensuring that the most relevant and valuable research results are relevant and appropriate studies, based on their research discovery meets the inclusion criteria, and exclude those that fall under the exclusion criteria. You are part of a world-class researcher. Your careful evaluation of the titles, will form the foundation for the meta-analysis, to ensure covering the relevant outcomes, findings, and results.;[inclusion criteria] [exclusion criteria] Exclude titles only when you are confident their results do not align with the purpose of the papers. By that you will play a critical role in ensuring that the most relevant and valuable research results are appropriate studies, based on their research discovery meeting the inclusion criteria, and exclude those that fall under the exclusion criteria. Your careful evaluation of the titles, will form the foundation for the meta-analysis, to ensure covering the relevant outcomes, findings, and results.
Results;Criteria;You are tasked with screening the titles of scientific papers to determine their relevance by focusing on the research discovery meets the inclusion criteria, and exclude those that align with the exclusion criteria.;You are tasked with screening the titles of scientific papers to determine their relevance by focusing on the research discovery meeting the inclusion criteria, and exclude those that align with the exclusion criteria. [inclusion criteria] [exclusion criteria]
Results;Criteria;You are part of a research team conducting a meta-analysis. Be rigoros in your evaluation, balancing careful inclusion and exclusion criteria. focus on ensuring a balanced and thorough selection based on their research discovery does not contribute to its purpose.;You are part of a research team conducting a meta-analysis. Be rigoros in your evaluation, balancing careful inclusion and exclusion criteria. [inclusion criteria] [exclusion criteria] Focus on ensuring a balanced and thorough selection based on whether their research discovery does or does not contribute to its purpose.
